song,artist,album,ms,genres
Mi Amor,Matt Hunter,Mi Amor,0,latin pop
Mi Chica Esta Loca (feat. Pitbull),Matt Hunter,Mi Chica Esta Loca (feat. Pitbull),66,latin pop
Te Necesito,Matt Hunter,Te Necesito,0,latin pop
Mi Señorita,Matt Hunter,Mi Señorita,0,latin pop
Mas Que Tu Amigo,Matt Hunter,Mas Que Tu Amigo,0,latin pop
Fiesta,Matt Hunter,Fiesta,188664,latin pop
Mark My Words,Justin Bieber,Purpose,92287,"canadian pop, pop"
Shaky Shaky - Remix,Daddy Yankee,Shaky Shaky,234560,"latin hip hop, reggaeton, trap latino, urbano latino"
No Sense,Justin Bieber,Purpose,24525,"canadian pop, pop"
Company,Justin Bieber,Purpose,2806,"canadian pop, pop"
Purpose,Justin Bieber,Purpose,790,"canadian pop, pop"
Children,Justin Bieber,Purpose,223333,"canadian pop, pop"
Been You,Justin Bieber,Purpose,199226,"canadian pop, pop"
Get Used To It,Justin Bieber,Purpose,40347,"canadian pop, pop"
I'll Show You,Justin Bieber,Purpose,0,"canadian pop, pop"
What Do You Mean?,Justin Bieber,Purpose,118812,"canadian pop, pop"
Sorry,Justin Bieber,Purpose,10536,"canadian pop, pop"
The Feeling,Justin Bieber,Purpose,87874,"canadian pop, pop"
Shaky Shaky,Daddy Yankee,Shaky Shaky,234320,"latin hip hop, reggaeton, trap latino, urbano latino"
We Are,Justin Bieber,Purpose,1036,"canadian pop, pop"
All In It,Justin Bieber,Purpose,116,"canadian pop, pop"
Trust,Justin Bieber,Purpose,171,"canadian pop, pop"
What Do You Mean? - Acoustic,Justin Bieber,Purpose,0,"canadian pop, pop"
Sorry - Latino Remix,Justin Bieber,Sorry,110822,"canadian pop, pop"
Side To Side,Ariana Grande,Dangerous Woman,226160,pop
Love Yourself,Justin Bieber,Purpose,233720,"canadian pop, pop"
Into You,Ariana Grande,Dangerous Woman,244453,pop
No Pressure,Justin Bieber,Purpose,7953,"canadian pop, pop"
La Nueva Y La Ex,Daddy Yankee,King Daddy,125599,"latin hip hop, reggaeton, trap latino, urbano latino"
Life Is Worth Living,Justin Bieber,Purpose,38206,"canadian pop, pop"
Swap It Out,Justin Bieber,Journals,240533,"canadian pop, pop"
Memphis,Justin Bieber,Journals,224080,"canadian pop, pop"
Hold Tight,Justin Bieber,Journals,245244,"canadian pop, pop"
Recovery,Justin Bieber,Journals,188929,"canadian pop, pop"
Bad Day,Justin Bieber,Journals,115862,"canadian pop, pop"
Boyfriend - Acoustic Version,Justin Bieber,Believe Acoustic,187680,"canadian pop, pop"
As Long As You Love Me - Acoustic Version,Justin Bieber,Believe Acoustic,103406,"canadian pop, pop"
Catching Feelings,Justin Bieber,Believe,1203,"canadian pop, pop"
Fall,Justin Bieber,Believe,3189,"canadian pop, pop"
Thought Of You,Justin Bieber,Believe,3412,"canadian pop, pop"
Yellow Raincoat,Justin Bieber,Believe Acoustic,22612,"canadian pop, pop"
Nothing Like Us,Justin Bieber,Believe Acoustic,3075,"canadian pop, pop"
Out Of Town Girl,Justin Bieber,Believe,25150,"canadian pop, pop"
Heartbreaker,Justin Bieber,Journals,262840,"canadian pop, pop"
All That Matters,Justin Bieber,Journals,191173,"canadian pop, pop"
All Bad,Justin Bieber,Journals,182746,"canadian pop, pop"
PYD,Justin Bieber,Journals,317200,"canadian pop, pop"
Roller Coaster,Justin Bieber,Journals,201613,"canadian pop, pop"
Change Me,Justin Bieber,Journals,88352,"canadian pop, pop"
Confident,Justin Bieber,Journals,248133,"canadian pop, pop"
One Life,Justin Bieber,Journals,173146,"canadian pop, pop"
Backpack,Justin Bieber,Journals,7432,"canadian pop, pop"
Beauty And A Beat,Justin Bieber,Believe Acoustic,283009,"canadian pop, pop"
She Don't Like The Lights - Acoustic Version,Justin Bieber,Believe Acoustic,57465,"canadian pop, pop"
Take You - Acoustic Version,Justin Bieber,Believe Acoustic,179373,"canadian pop, pop"
Be Alright - Acoustic Version,Justin Bieber,Believe Acoustic,99471,"canadian pop, pop"
As Long As You Love Me,Justin Bieber,Believe,229466,"canadian pop, pop"
What's Hatnin',Justin Bieber,Journals,208533,"canadian pop, pop"
One Love,Justin Bieber,Believe,18999,"canadian pop, pop"
Take You,Justin Bieber,Believe,36928,"canadian pop, pop"
Believe,Justin Bieber,Believe,346,"canadian pop, pop"
Be Alright,Justin Bieber,Believe,2664,"canadian pop, pop"
She Don't Like The Lights,Justin Bieber,Believe,34,"canadian pop, pop"
Maria,Justin Bieber,Believe,0,"canadian pop, pop"
Fairytale,Justin Bieber,Believe,0,"canadian pop, pop"
Pasarela,Daddy Yankee,Prestige,193626,"latin hip hop, reggaeton, trap latino, urbano latino"
La Rompe Corazones,Daddy Yankee,La Rompe Corazones,179600,"latin hip hop, reggaeton, trap latino, urbano latino"
Gasolina - DJ Buddah Remix,Daddy Yankee,Reggaeton!,282706,"latin hip hop, reggaeton, trap latino, urbano latino"
Otra Cosa,Daddy Yankee,Otra Cosa,78908,"latin hip hop, reggaeton, trap latino, urbano latino"
La Noche De Los Dos,Daddy Yankee,Prestige,576,"latin hip hop, reggaeton, trap latino, urbano latino"
Llegamos A La Disco,Daddy Yankee,Prestige,2824,"latin hip hop, reggaeton, trap latino, urbano latino"
Lovumba,Daddy Yankee,Prestige,218413,"latin hip hop, reggaeton, trap latino, urbano latino"
Ven Conmigo,Daddy Yankee,Prestige,219786,"latin hip hop, reggaeton, trap latino, urbano latino"
La Despedida,Daddy Yankee,Daddy Yankee Mundial,234339,"latin hip hop, reggaeton, trap latino, urbano latino"
Me Enteré,Daddy Yankee,Daddy Yankee Mundial,186946,"latin hip hop, reggaeton, trap latino, urbano latino"
El Más Duro,Daddy Yankee,Daddy Yankee Mundial,79812,"latin hip hop, reggaeton, trap latino, urbano latino"
Suena Boom,Daddy Yankee,King Daddy,12895,"latin hip hop, reggaeton, trap latino, urbano latino"
Descontrol,Daddy Yankee,Daddy Yankee Mundial,93005,"latin hip hop, reggaeton, trap latino, urbano latino"
All Around The World,Justin Bieber,Believe,244546,"canadian pop, pop"
Die In Your Arms,Justin Bieber,Believe,237293,"canadian pop, pop"
I Would,Justin Bieber,Believe Acoustic,227360,"canadian pop, pop"
Fall - Live,Justin Bieber,Believe Acoustic,220973,"canadian pop, pop"
Boyfriend,Justin Bieber,Believe,171333,"canadian pop, pop"
Right Here,Justin Bieber,Believe,204186,"canadian pop, pop"
All Around The World - Acoustic Version,Justin Bieber,Believe Acoustic,156173,"canadian pop, pop"
Soy Peor,Bad Bunny,Soy Peor,257327,"reggaeton, trap latino, urbano latino"
Amor Real,Matt Hunter,Amor Real,56224,latin pop
Look Into The Dust - Original Mix,Matt Hunter,Dusty Tales,12989,latin pop
Soy Peor (Instrumental),Bad Bunny,Soy Peor (Instrumental),6136,"reggaeton, trap latino, urbano latino"
Me Rehúso,Danny Ocean,Me Rehúso,703,"pop venezolano, reggaeton, trap latino, urbano latino"
Déjala Caer,Daddy Yankee,King Daddy,112475,"latin hip hop, reggaeton, trap latino, urbano latino"
They Don't Know,Ariana Grande,TROLLS (Original Motion Picture Soundtrack),197253,pop
Dangerous Woman,Ariana Grande,Dangerous Woman,235946,pop
"Lo Que Paso, Paso",Daddy Yankee,Hip Hop and Reggaeton Revolution,217000,"latin hip hop, reggaeton, trap latino, urbano latino"
One Last Time,Ariana Grande,My Everything,197266,pop
Baby I Won't,Danny Ocean,Baby I Won't,93087,"pop venezolano, reggaeton, trap latino, urbano latino"
Beauty and the Beast,Ariana Grande,Beauty and the Beast,20953,pop
Everyday,Ariana Grande,Dangerous Woman,44453,pop
Brand New You,Ariana Grande,Brand New You,16896,pop
Loco Pero Millonario,Bad Bunny,Loco Pero Millonario,1063,"reggaeton, trap latino, urbano latino"
Blockia,Bad Bunny,Blockia,30641,"reggaeton, trap latino, urbano latino"
Moonlight,Ariana Grande,Dangerous Woman,202360,pop
Be Alright,Ariana Grande,Dangerous Woman,179293,pop
Let Me Love You,Ariana Grande,Dangerous Woman,223853,pop
Greedy,Ariana Grande,Dangerous Woman,214906,pop
Leave Me Lonely,Ariana Grande,Dangerous Woman,229680,pop
Intro,Ariana Grande,My Everything,62635,pop
Problem,Ariana Grande,My Everything,1814,pop
Why Try,Ariana Grande,My Everything,211880,pop
Break Free,Ariana Grande,My Everything,214840,pop
Best Mistake,Ariana Grande,My Everything,233733,pop
Be My Baby,Ariana Grande,My Everything,217053,pop
Break Your Heart Right Back,Ariana Grande,My Everything,253386,pop
Love Me Harder,Ariana Grande,My Everything,236133,pop
Just A Little Bit Of Your Heart,Ariana Grande,My Everything,51604,pop
My Everything,Ariana Grande,My Everything,10471,pop
Sometimes,Ariana Grande,Dangerous Woman,222936,pop
Gasolina,Daddy Yankee,Gasolina,55330,"latin hip hop, reggaeton, trap latino, urbano latino"
Hula Hoop,Daddy Yankee,Hula Hoop,38120,"latin hip hop, reggaeton, trap latino, urbano latino"
Perros Salvajes,Daddy Yankee,Prestige,47461,"latin hip hop, reggaeton, trap latino, urbano latino"
Limbo,Daddy Yankee,Prestige,89307,"latin hip hop, reggaeton, trap latino, urbano latino"
I’m The Boss,Daddy Yankee,King Daddy,5361,"latin hip hop, reggaeton, trap latino, urbano latino"
One Time,Justin Bieber,My World,215866,"canadian pop, pop"
Me Mata,Bad Bunny,Me Mata,162586,"reggaeton, trap latino, urbano latino"
Mistletoe,Justin Bieber,Under The Mistletoe,104803,"canadian pop, pop"
Focus,Ariana Grande,Focus,61838,pop
You Don't Know Me,Ariana Grande,My Everything,798,pop
Only 1,Ariana Grande,My Everything,193986,pop
Somewhere Over The Rainbow - Live From Manchester,Ariana Grande,Somewhere Over The Rainbow,23596,pop
Break Free - Live from One Love Manchester,Ariana Grande,One Love Manchester,216046,pop
Love Me Harder - Live from One Love Manchester,Ariana Grande,One Love Manchester,224150,pop
Honeymoon Avenue,Ariana Grande,Yours Truly,381,pop
Baby I,Ariana Grande,Yours Truly,197600,pop
Right There,Ariana Grande,Yours Truly,247080,pop
Tattooed Heart,Ariana Grande,Yours Truly,194706,pop
Lovin' It,Ariana Grande,Yours Truly,180693,pop
Piano,Ariana Grande,Yours Truly,83004,pop
The Way,Ariana Grande,Yours Truly,258909,pop
You’ll Never Know,Ariana Grande,Yours Truly,148798,pop
I Don't Care,Ariana Grande,Dangerous Woman,1915,pop
Bad Decisions,Ariana Grande,Dangerous Woman,226426,pop
Touch It,Ariana Grande,Dangerous Woman,1544,pop
Knew Better / Forever Boy,Ariana Grande,Dangerous Woman,299213,pop
Thinking Bout You,Ariana Grande,Dangerous Woman,200400,pop
"Lo Que Pasó, Pasó",Daddy Yankee,Barrio Fino (Bonus Track Version),68925,"latin hip hop, reggaeton, trap latino, urbano latino"
Te Vi,Matt Hunter,Te Vi,181066,latin pop
Typical Superiority (Original Mix),Matt Hunter,Dusty Tales,20724,latin pop
Tu No Metes Cabra,Bad Bunny,Tu No Metes Cabra,170765,"reggaeton, trap latino, urbano latino"
A Monster's Tale - Original Mix,Matt Hunter,Dusty Tales,8086,latin pop
Panamera - Remix,Bad Bunny,Panamera (Remix),0,"reggaeton, trap latino, urbano latino"
"Soy Peor Remix (feat. J Balvin, Ozuna & Arcangel)",Bad Bunny,Soy Peor Remix,324827,"reggaeton, trap latino, urbano latino"
Pa Ti,Bad Bunny,Pa Ti,191294,"reggaeton, trap latino, urbano latino"
All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,Justin Bieber,Under The Mistletoe,24315,"canadian pop, pop"
"Lo Que Pasó, Pasó - Remix (Bonus Track)",Daddy Yankee,Barrio Fino (Bonus Track Version),0,"latin hip hop, reggaeton, trap latino, urbano latino"
Friends (with BloodPop®),Justin Bieber,Friends (with BloodPop®),53173,"canadian pop, pop"
Vuelve,Daddy Yankee,Vuelve,111726,"latin hip hop, reggaeton, trap latino, urbano latino"
Palabras Con Sentido (feat. Pinto),Daddy Yankee,Palabras Con Sentido (feat. Pinto),0,"latin hip hop, reggaeton, trap latino, urbano latino"
Sensualidad,Bad Bunny,Sensualidad,131875,"reggaeton, trap latino, urbano latino"
"Tu No Metes Cabra Remix (feat. Daddy Yankee, Anuel AA & Cosculluela)",Bad Bunny,Tu No Metes Cabra Remix,118,"reggaeton, trap latino, urbano latino"
Me Llueven 2,Bad Bunny,Me Llueven 2,64456,"reggaeton, trap latino, urbano latino"
Salgo Pa' la Calle,Daddy Yankee,Talento de Barrio,117913,"latin hip hop, reggaeton, trap latino, urbano latino"
Chambea,Bad Bunny,Chambea,165224,"reggaeton, trap latino, urbano latino"
Me Llueven (Extended Version),Bad Bunny,Me Llueven (Extenden Version),240497,"reggaeton, trap latino, urbano latino"
Talento de Barrio,Daddy Yankee,Talento de Barrio,187340,"latin hip hop, reggaeton, trap latino, urbano latino"
¿Qué Tengo Que Hacer?,Daddy Yankee,Talento de Barrio,218454,"latin hip hop, reggaeton, trap latino, urbano latino"
Brightness To The Dark - Original Mix,Matt Hunter,Dusty Tales,24429,latin pop
Amorfoda,Bad Bunny,Amorfoda,138460,"reggaeton, trap latino, urbano latino"
Dime Si Vas a Volver,Bad Bunny,Dime Si Vas a Volver,61443,"reggaeton, trap latino, urbano latino"
Dura,Daddy Yankee,Dura,84020,"latin hip hop, reggaeton, trap latino, urbano latino"
Oasis de Fantasia,Daddy Yankee,Talento de Barrio,16155,"latin hip hop, reggaeton, trap latino, urbano latino"
Dembow,Danny Ocean,Dembow,215018,"pop venezolano, reggaeton, trap latino, urbano latino"
Vuelve,Danny Ocean,Vuelve,51308,"pop venezolano, reggaeton, trap latino, urbano latino"
no tears left to cry,Ariana Grande,no tears left to cry,205946,pop
Dicen,Matt Hunter,Dicen,220823,latin pop
Dura - Remix,Daddy Yankee,Dura,997,"latin hip hop, reggaeton, trap latino, urbano latino"
Llamado de Emergencia,Daddy Yankee,Talento de Barrio,154573,"latin hip hop, reggaeton, trap latino, urbano latino"
Tu Príncipe,Daddy Yankee,Barrio Fino (Bonus Track Version),202141,"latin hip hop, reggaeton, trap latino, urbano latino"
Mírame,Daddy Yankee,Academia de Baile,1608,"latin hip hop, reggaeton, trap latino, urbano latino"
Favorite Girl,Justin Bieber,My World,9663,"canadian pop, pop"
One Less Lonely Girl,Justin Bieber,My Worlds,151847,"canadian pop, pop"
Sígueme Y Te Sigo,Daddy Yankee,Sígueme Y Te Sigo,6120,"latin hip hop, reggaeton, trap latino, urbano latino"
the light is coming (feat. Nicki Minaj),Ariana Grande,the light is coming,6044,pop
Zum Zum,Daddy Yankee,Zum Zum,29296,"latin hip hop, reggaeton, trap latino, urbano latino"
El Amante,Daddy Yankee,Prestige,220544,"latin hip hop, reggaeton, trap latino, urbano latino"
Pose,Daddy Yankee,Talento de Barrio,217226,"latin hip hop, reggaeton, trap latino, urbano latino"
Dale Caliente,Daddy Yankee,Barrio Fino (Bonus Track Version),195792,"latin hip hop, reggaeton, trap latino, urbano latino"
No Me Dejes Solo,Daddy Yankee,Barrio Fino (Bonus Track Version),170240,"latin hip hop, reggaeton, trap latino, urbano latino"
Donde Hubo Fuego,Daddy Yankee,12 Discipulos,205962,"latin hip hop, reggaeton, trap latino, urbano latino"
Suelta,Daddy Yankee,Talento de Barrio,40562,"latin hip hop, reggaeton, trap latino, urbano latino"
Pasión,Daddy Yankee,Talento de Barrio,1486,"latin hip hop, reggaeton, trap latino, urbano latino"
Estamos Bien,Bad Bunny,Estamos Bien,0,"reggaeton, trap latino, urbano latino"
Epa Wei,Danny Ocean,Epa Wei,104153,"pop venezolano, reggaeton, trap latino, urbano latino"
Dance The Night Away,TWICE,Summer Nights,25384,"k-pop, k-pop girl group, pop"
breathin,Ariana Grande,Sweetener,71400,pop
Baby I Won't - Cean Remix,Danny Ocean,Baby I Won't,5500,"pop venezolano, reggaeton, trap latino, urbano latino"
One Time - Acoustic Version,Justin Bieber,My Worlds - The Collection,6483,"canadian pop, pop"
Down To Earth,Justin Bieber,My Worlds - The Collection,64745,"canadian pop, pop"
Somos de Calle,Daddy Yankee,Talento de Barrio,2072,"latin hip hop, reggaeton, trap latino, urbano latino"
DDU-DU DDU-DU,BLACKPINK,SQUARE UP,6434,"k-pop, k-pop girl group, pop"
Light,Wanna One,1÷x=1 (UNDIVIDED),221200,"k-pop, k-pop boy group"
I PROMISE YOU (I.P.U.),Wanna One,0+1=1 (I PROMISE YOU),146669,"k-pop, k-pop boy group"
Really,BLACKPINK,SQUARE UP,74067,"k-pop, k-pop girl group, pop"
Forever Young,BLACKPINK,SQUARE UP,12711,"k-pop, k-pop girl group, pop"
Wanna,Wanna One,1-1=0 (NOTHING WITHOUT YOU),0,"k-pop, k-pop boy group"
To Be One (Outro.),Wanna One,1-1=0 (NOTHING WITHOUT YOU),1846,"k-pop, k-pop boy group"
Burn It Up,Wanna One,1X1=1(TO BE ONE),0,"k-pop, k-pop boy group"
BOOMERANG,Wanna One,0+1=1 (I PROMISE YOU),0,"k-pop, k-pop boy group"
See U Later,BLACKPINK,SQUARE UP,8854,"k-pop, k-pop girl group, pop"
I PROMISE YOU (Propose Ver.),Wanna One,0+1=1 (I PROMISE YOU),101902,"k-pop, k-pop boy group"
Beautiful,Wanna One,1-1=0 (NOTHING WITHOUT YOU),20194,"k-pop, k-pop boy group"
Twilight,Wanna One,1-1=0 (NOTHING WITHOUT YOU),12780,"k-pop, k-pop boy group"
Lista De Espera,Matt Hunter,Lista De Espera,50170,latin pop
As If It's Your Last,BLACKPINK,As If It's Your Last,213253,"k-pop, k-pop girl group, pop"
MIA (feat. Drake),Bad Bunny,MIA (feat. Drake),252141,"reggaeton, trap latino, urbano latino"
"thank u, next",Ariana Grande,"thank u, next",207333,pop
Energetic,Wanna One,1-1=0 (NOTHING WITHOUT YOU),321529,"k-pop, k-pop boy group"
Energetic (Prequel Remix),Wanna One,1-1=0 (NOTHING WITHOUT YOU),17765,"k-pop, k-pop boy group"
Nothing Without You (Intro.),Wanna One,1-1=0 (NOTHING WITHOUT YOU),83268,"k-pop, k-pop boy group"
Always (Acoustic Ver.),Wanna One,1X1=1(TO BE ONE),53537,"k-pop, k-pop boy group"
Pine Tree,Wanna One,1¹¹=1 (POWER OF DESTINY),13064,"k-pop, k-pop boy group"
Awake!,Wanna One,1¹¹=1 (POWER OF DESTINY),2936,"k-pop, k-pop boy group"
Adictiva,Daddy Yankee,Adictiva,207853,"latin hip hop, reggaeton, trap latino, urbano latino"
불면증 Insomnia,Stray Kids,I am WHO,206426,"k-pop, k-pop boy group, pop"
My Pace,Stray Kids,I am WHO,189325,"k-pop, k-pop boy group, pop"
LIKEY,TWICE,twicetagram,207820,"k-pop, k-pop girl group, pop"
WHISTLE,BLACKPINK,SQUARE ONE,211628,"k-pop, k-pop girl group, pop"
La Romana,Bad Bunny,X 100PRE,56376,"reggaeton, trap latino, urbano latino"
Con Calma,Daddy Yankee,Con Calma,181223,"latin hip hop, reggaeton, trap latino, urbano latino"
Burn It Up (Prequel Remix),Wanna One,1-1=0 (NOTHING WITHOUT YOU),7547,"k-pop, k-pop boy group"
Spring Breeze,Wanna One,1¹¹=1 (POWER OF DESTINY),235868,"k-pop, k-pop boy group"
FANCY,TWICE,FANCY YOU,227264,"k-pop, k-pop girl group, pop"
Kill This Love,BLACKPINK,KILL THIS LOVE,189052,"k-pop, k-pop girl group, pop"
CROWN,TOMORROW X TOGETHER,The Dream Chapter: STAR,230706,"k-pop, k-pop boy group"
MIA,Bad Bunny,X 100PRE,151830,"reggaeton, trap latino, urbano latino"
Don't Know What To Do,BLACKPINK,KILL THIS LOVE,201081,"k-pop, k-pop girl group, pop"
MIROH,Stray Kids,Clé 1 : MIROH,207617,"k-pop, k-pop boy group, pop"
La Vie en Rose,IZ*ONE,COLOR*IZ,218993,"k-pop, k-pop girl group"
GOLD,Wanna One,0+1=1 (I PROMISE YOU),76779,"k-pop, k-pop boy group"
Victory Song,Stray Kids,Clé 1 : MIROH,13445,"k-pop, k-pop boy group, pop"
Get Cool,Stray Kids,I am YOU,194758,"k-pop, k-pop boy group, pop"
I am YOU,Stray Kids,I am YOU,153210,"k-pop, k-pop boy group, pop"
Voices,Stray Kids,I am WHO,2743,"k-pop, k-pop boy group, pop"
District 9,Stray Kids,I am NOT,2648,"k-pop, k-pop boy group, pop"
Hellevator,Stray Kids,Mixtape,240000,"k-pop, k-pop boy group, pop"
Chronosaurus,Stray Kids,Clé 1 : MIROH,119032,"k-pop, k-pop boy group, pop"
Maze of Memories,Stray Kids,Clé 1 : MIROH,1973,"k-pop, k-pop boy group, pop"
Boxer,Stray Kids,Clé 1 : MIROH,200086,"k-pop, k-pop boy group, pop"
19,Stray Kids,Clé 1 : MIROH,205496,"k-pop, k-pop boy group, pop"
극과 극 N/S,Stray Kids,I am YOU,223979,"k-pop, k-pop boy group, pop"
M.I.A.,Stray Kids,I am WHO,138878,"k-pop, k-pop boy group, pop"
갑자기 분위기 싸해질 필요 없잖아요 Awkward Silence,Stray Kids,I am WHO,193747,"k-pop, k-pop boy group, pop"
YOU.,Stray Kids,I am YOU,78831,"k-pop, k-pop boy group, pop"
Question,Stray Kids,I am WHO,117841,"k-pop, k-pop boy group, pop"
어린 날개,Stray Kids,Mixtape,34040,"k-pop, k-pop boy group, pop"
Hide And Seek,Wanna One,1¹¹=1 (POWER OF DESTINY),185435,"k-pop, k-pop boy group"
One Love,Wanna One,1¹¹=1 (POWER OF DESTINY),210559,"k-pop, k-pop boy group"
YES or YES,TWICE,YES or YES,395482,"k-pop, k-pop girl group, pop"
PLAYING WITH FIRE,BLACKPINK,SQUARE TWO,12824,"k-pop, k-pop girl group, pop"
Memory,IZ*ONE,COLOR*IZ,6171,"k-pop, k-pop girl group"
Cazador,Matt Hunter,Cazador,202786,latin pop
O' My!,IZ*ONE,COLOR*IZ,203303,"k-pop, k-pop girl group"
We Together - IZ*ONE Ver.,IZ*ONE,COLOR*IZ,226210,"k-pop, k-pop girl group"
Suki ni Nacchaudarou? - IZ*ONE Ver.,IZ*ONE,COLOR*IZ,220565,"k-pop, k-pop girl group"
Violeta,IZ*ONE,HEART*IZ,6465,"k-pop, k-pop girl group"
Cuando Perriabas,Bad Bunny,X 100PRE,153485,"reggaeton, trap latino, urbano latino"
Like OOH-AHH - Japanese ver.,TWICE,#TWICE,2338,"k-pop, k-pop girl group, pop"
STRAWBERRY,TWICE,FANCY YOU,30865,"k-pop, k-pop girl group, pop"
거북이 TURTLE,TWICE,twicetagram,1122,"k-pop, k-pop girl group, pop"
BOOMBAYAH,BLACKPINK,SQUARE ONE,778,"k-pop, k-pop girl group, pop"
AFTER MOON,TWICE,YES or YES,797,"k-pop, k-pop girl group, pop"
STUCK IN MY HEAD,TWICE,FANCY YOU,176287,"k-pop, k-pop girl group, pop"
GIRLS LIKE US,TWICE,FANCY YOU,158637,"k-pop, k-pop girl group, pop"
HOT,TWICE,FANCY YOU,177819,"k-pop, k-pop girl group, pop"
TURN IT UP,TWICE,FANCY YOU,187247,"k-pop, k-pop girl group, pop"
Like a Fool,TWICE,THE STORY BEGINS,176032,"k-pop, k-pop girl group, pop"
